number,discovery_date,discovery_site,discoverer,category,diameter_km
3192,"January 30, 1982",Anderson Mesa,E. Bowell,·,4.4
3193,"February 20, 1982",Anderson Mesa,E. Bowell,·,5.9
3194,"May 27, 1982",Palomar,C. S. Shoemaker,EOS,14.0
3195,"August 8, 1978",Nauchnij,N. S. Chernykh,KOR,8.6
3196,"September 1, 1978",Nauchnij,N. S. Chernykh,·,14.0
3197,"January 1, 1981",Anderson Mesa,E. Bowell,·,19.0
3198,"December 30, 1981",Haute-Provence,F. Dossin,·,6.8
3199,"September 13, 1982",Palomar,"C. S. Shoemaker , E. M. Shoemaker",AMO + 1 km (0.62 mi),2.2
3200,"October 11, 1983",IRAS,IRAS,APO +1 km (0.62 mi) · PHA,6.2
3201,"September 24, 1960",Palomar,"C. J. van Houten , I. van Houten-Groeneveld , T. Gehrels",·,5.0
3202,"January 3, 1908",Heidelberg,M. F. Wolf,3:2,36.0
3203,"September 18, 1938",Sonneberg,C. Hoffmeister,·,4.3
3204,"September 1, 1978",Nauchnij,N. S. Chernykh,·,20.0
3205,"June 25, 1979",Siding Spring,"E. F. Helin , S. J. Bus",ADE,12.0
3206,"November 13, 1980",Nanking,Purple Mountain,·,5.4
3207,"March 2, 1981",Siding Spring,S. J. Bus,KOR,9.4
3208,"May 3, 1981",Anderson Mesa,E. Bowell,THM ·,20.0
3209,"January 24, 1982",Anderson Mesa,E. Bowell,·,5.8
3210,"November 29, 1983",Anderson Mesa,E. Bowell,·,19.0
3211,"February 10, 1931",Williams Bay,G. Van Biesbroeck,·,8.3
3212,"February 19, 1938",Turku,Y. Väisälä,·,4.4
3213,"July 14, 1977",Nauchnij,N. S. Chernykh,THM,18.0
3214,"October 2, 1978",Nauchnij,L. V. Zhuravleva,EOS,18.0
3215,"January 23, 1980",Nauchnij,L. G. Karachkina,(1298),20.0
3216,"September 4, 1980",Anderson Mesa,E. Bowell,·,4.0
3217,"September 2, 1980",Anderson Mesa,E. Bowell,·,5.1
3218,"September 24, 1960",Palomar,"C. J. van Houten , I. van Houten-Groeneveld , T. Gehrels",·,4.9
3219,"February 4, 1934",Heidelberg,K. Reinmuth,·,16.0
3220,"November 22, 1951",Nice,M. Laugier,moon,4.9
3221,"December 2, 1981",Nanking,Purple Mountain,·,6.0
3222,"July 10, 1983",Anderson Mesa,E. Bowell,·,35.0
3223,"September 7, 1942",Turku,Y. Väisälä,·,20.0
3224,"September 11, 1977",Nauchnij,N. S. Chernykh,·,25.0
3225,"August 20, 1982",Palomar,"C. S. Shoemaker , E. M. Shoemaker",H,6.2
3226,"September 24, 1960",Palomar,"C. J. van Houten , I. van Houten-Groeneveld , T. Gehrels",KOR,7.0
3227,"February 24, 1928",Heidelberg,K. Reinmuth,·,7.9
3228,"February 8, 1935",Uccle,S. J. Arend,NYS,16.0
3229,"August 9, 1916",Hamburg-Bergedorf,H. Thiele,·,7.1
3230,"June 8, 1972",Nauchnij,N. S. Chernykh,·,23.0
3231,"September 4, 1972",Nauchnij,L. V. Zhuravleva,·,13.0
3232,"September 19, 1974",Nauchnij,L. I. Chernykh,EOS,17.0
3233,"September 9, 1977",Nauchnij,N. S. Chernykh,slow,4.1
3234,"August 31, 1978",Nauchnij,N. S. Chernykh,·,14.0
3235,"March 6, 1981",La Silla,"H. Debehogne , G. de Sanctis",·,9.2
3236,"January 24, 1982",Anderson Mesa,E. Bowell,·,5.0
3237,"September 25, 1984",Palomar,J. Platt,EOS,28.0
3238,"November 8, 1975",Nauchnij,N. S. Chernykh,ADE,13.0
3239,"October 29, 1978",Nanking,Purple Mountain,·,3.4
3240,"November 7, 1978",Palomar,"E. F. Helin , S. J. Bus",L5,52.0
3241,"November 28, 1978",Nanking,Purple Mountain,·,17.0
